movieid,title,url,Image,genre,age,runningtime,opendate,rate,actors,story,story_cleaning,result,result2,genre2,combined
172,소리꾼 디오리지널,http://www.cine21.com/movie/info/?movie_id=58147,"https://image.cine21.com/resize/cine21/poster/2022/0126/10_10_16__61f09f7883b90[X224,320].jpg",드라마,12세이상관람가, 130분, 2022-02-24,," 
													이봉근													이유리													 ","모두를 하나로 만든 우리의 소리와 장단
사람들을 울리고 웃긴 광대들의 이야기

영조 10년, 사라진 아내 간난을 찾아 나선 소리꾼 학규와 그의 딸 청이.
새로운 광대패들과 함께 흥과 한이 담긴 전국팔도의 여정을 시작한다.
“우리는 다시 만나야 한다!” 그들의 울림 있는 외침은 모두의 희망이 되어 하나로 모이게 하는데…
민초들의 흥과 한이 세상에 다시 울려 퍼진다!",모두를 하나로 만든 우리의 소리와 장단 사람들을 울리고 웃긴 광대들의 이야기 영조 10년 사라진 아내 간난을 찾아 나선 소리꾼 학규와 그의 딸 청이 새로운 광대패들과 함께 흥과 한이 담긴 전국팔도의 여정을 시작한다 우리는 다시 만나야 한다 그들의 울림 있는 외침은 모두의 희망이 되어 하나로 모이게 하는데 민초들의 흥과 한이 세상에 다시 울려 퍼진다 ,"['모두', '하나로', '우리', '소리', '장단', '사람', '광대', '이야기', '영조', '아내', '간난', '나선', '소리', '학규', '그', '딸', '청', '새롭다', '광대', '패', '흥', '이', '전국', '도의', '여정', '시작', '우리', '다시', '그', '울림', '있다', '외침', '모두', '희망이', '하나로', '모이', '민초', '흥', '이', '세상', '다시']",모두 하나로 우리 소리 장단 사람 광대 이야기 영조 아내 간난 나선 소리 학규 그 딸 청 새롭다 광대 패 흥 이 전국 도의 여정 시작 우리 다시 그 울림 있다 외침 모두 희망이 하나로 모이 민초 흥 이 세상 다시,드라마,드라마 모두 하나로 우리 소리 장단 사람 광대 이야기 영조 아내 간난 나선 소리 학규 그 딸 청 새롭다 광대 패 흥 이 전국 도의 여정 시작 우리 다시 그 울림 있다 외침 모두 희망이 하나로 모이 민초 흥 이 세상 다시
173,소설가 구보의 하루,http://www.cine21.com/movie/info/?movie_id=58710,"https://image.cine21.com/resize/cine21/poster/2021/1117/14_36_42__619494eaecd18[X224,320].jpg",드라마,12세이상관람가, 73분, 2021-12-09,7.0," 
													박종환													김새벽													 ","자신의 작품 세계를 고집하며 글을 써오고 있는 소설가 구보(박종환)는
선배 기영(김경익)이 편집장으로 있는 작은 출판사에 자신의 소설 출간 여부를 결정지으러
부푼 마음을 안고 아침 일찍 집을 나선다.

기대치 못한 소식을 들은 구보는 허탈한 마음으로 거리를 배회하면서
다양한 지인들과 우연 혹은 필연적으로 만나게 되는데…",자신의 작품 세계를 고집하며 글을 써오고 있는 소설가 구보 박종환 는 선배 기영 김경익 이 편집장으로 있는 작은 출판사에 자신의 소설 출간 여부를 결정지으러 부푼 마음을 안고 아침 일찍 집을 나선다 기대치 못한 소식을 들은 구보는 허탈한 마음으로 거리를 배회하면서 다양한 지인들과 우연 혹은 필연적으로 만나게 되는데 ,"['자신', '작품', '세계', '고집', '글', '있다', '소설가', '구보', '박종환', '선배', '영', '김경익', '이', '편집장', '있다', '작다', '출판사', '자신', '소설', '간', '여부', '결정', '마음', '안고', '아침', '일찍', '집', '대치', '못', '소식', '구보', '허탈하다', '마음', '거리', '배회', '다양하다', '지인', '우연', '필연']",자신 작품 세계 고집 글 있다 소설가 구보 박종환 선배 영 김경익 이 편집장 있다 작다 출판사 자신 소설 간 여부 결정 마음 안고 아침 일찍 집 대치 못 소식 구보 허탈하다 마음 거리 배회 다양하다 지인 우연 필연,드라마,드라마 자신 작품 세계 고집 글 있다 소설가 구보 박종환 선배 영 김경익 이 편집장 있다 작다 출판사 자신 소설 간 여부 결정 마음 안고 아침 일찍 집 대치 못 소식 구보 허탈하다 마음 거리 배회 다양하다 지인 우연 필연
174,소설가의 영화,http://www.cine21.com/movie/info/?movie_id=59065,"https://image.cine21.com/resize/cine21/poster/2022/0331/59065_624527283e82a[X224,320].jpg",드라마,12세이상관람가, 92분, 2022-04-21,10.0," 
													이혜영													김민희													 ","여소설가가 잠적한 후배의 책방으로 먼 길을 찾아옵니다.
그리고 혼자 타워를 오르고 영화감독 부부를 만나고 공원을 산책하다 여배우를 만나게 되고,
여배우에게 당신과 영화를 만들고 싶다 설득을 합니다.
둘이 분식집에서 뭘 먹고, 다시 찾게 되는 후배의 책방에서 술자리가 깊어지고
여배우는 취해 잠이 드는데…",여소설가가 잠적한 후배의 책방으로 먼 길을 찾아옵니다 그리고 혼자 타워를 오르고 영화감독 부부를 만나고 공원을 산책하다 여배우를 만나게 되고 여배우에게 당신과 영화를 만들고 싶다 설득을 합니다 둘이 분식집에서 뭘 먹고 다시 찾게 되는 후배의 책방에서 술자리가 깊어지고 여배우는 취해 잠이 드는데 ,"['소설가', '잠적', '후배', '책방', '멀다', '길', '혼자', '타워', '영화감독', '부부', '공원', '산책', '여배우', '여배우', '당신', '영화', '설득', '둘', '분식집', '뭘', '다시', '후배', '책방', '술자리', '깊다', '여배우', '취해', '잠']",소설가 잠적 후배 책방 멀다 길 혼자 타워 영화감독 부부 공원 산책 여배우 여배우 당신 영화 설득 둘 분식집 뭘 다시 후배 책방 술자리 깊다 여배우 취해 잠,드라마,드라마 소설가 잠적 후배 책방 멀다 길 혼자 타워 영화감독 부부 공원 산책 여배우 여배우 당신 영화 설득 둘 분식집 뭘 다시 후배 책방 술자리 깊다 여배우 취해 잠
175,소피의 세계,http://www.cine21.com/movie/info/?movie_id=58629,"https://image.cine21.com/resize/cine21/poster/2022/0215/10_12_24__620afdf88c095[X224,320].jpg",드라마,12세이상관람가, 115분, 2022-03-03,6.67," 
													김새벽													곽민규													 ","우연히 여행 블로그 속에서 자신의 사진을 발견한 수영.
그곳에는 2년 전 만난 여행자 소피가 한국에서 머문 나흘의 기록이 있다.
수영은 소피의 일기를 통해 최악의 시기를 버티던 남편 종구와의 일상을 새롭게 바라본다.
그때는 알 수 없었던 감정과 사실이 이해될, 것도 같다.

소피가 써 내려간 세계 속에서
다투고 울고 웃었던 우리는 어떤 마음을 남겼을까?

2022년 봄에서 2020년 가을로,
서로의 안부를 묻는 일상으로의 여행이 시작된다!",우연히 여행 블로그 속에서 자신의 사진을 발견한 수영 그곳에는 2년 전 만난 여행자 소피가 한국에서 머문 나흘의 기록이 있다 수영은 소피의 일기를 통해 최악의 시기를 버티던 남편 종구와의 일상을 새롭게 바라본다 그때는 알 수 없었던 감정과 사실이 이해될 것도 같다 소피가 써 내려간 세계 속에서 다투고 울고 웃었던 우리는 어떤 마음을 남겼을까 2022년 봄에서 2020년 가을로 서로의 안부를 묻는 일상으로의 여행이 시작된다 ,"['여행', '블로그', '속', '자신', '사진', '발견', '수영', '곳', '전', '만난', '여행자', '피', '한국', '나흘', '기록', '있다', '수영', '피', '일기', '통해', '최악', '시기', '남편', '종구', '일상', '새롭다', '그때', '알', '수', '없다', '감정', '사실', '이해', '것', '같다', '피', '세계', '속', '울', '우리', '어떻다', '마음', '봄', '가을로', '서로', '안부', '일상', '여행', '시작']",여행 블로그 속 자신 사진 발견 수영 곳 전 만난 여행자 피 한국 나흘 기록 있다 수영 피 일기 통해 최악 시기 남편 종구 일상 새롭다 그때 알 수 없다 감정 사실 이해 것 같다 피 세계 속 울 우리 어떻다 마음 봄 가을로 서로 안부 일상 여행 시작,드라마,드라마 여행 블로그 속 자신 사진 발견 수영 곳 전 만난 여행자 피 한국 나흘 기록 있다 수영 피 일기 통해 최악 시기 남편 종구 일상 새롭다 그때 알 수 없다 감정 사실 이해 것 같다 피 세계 속 울 우리 어떻다 마음 봄 가을로 서로 안부 일상 여행 시작
176,송해 1927,http://www.cine21.com/movie/info/?movie_id=58567,"https://image.cine21.com/resize/cine21/poster/2021/1124/13_56_14__619dc5ee1537f[X224,320].jpg",다큐멘터리,12세이상관람가, 82분, 2021-11-18,," 
													송해													 ","최고령 현역 연예인
‘전국노래자랑’ 최장수 MC
가수, 희극인, DJ…
한 평생 전 국민들의 희로애락을 함께 해온 ‘송해’!

“이제는 내 인생도 딩동댕 할랍니다!”

무대 아래 숨겨진 ‘송해’의 라이프 비하인드 스토리부터
30년 만에 마주한 특별한 선물의 정체까지?

누구나 알지만 아무도 몰랐던
1927년생 ‘송해’의 인생 속터뷰!",최고령 현역 연예인 전국노래자랑 최장수 MC 가수 희극인 DJ 한 평생 전 국민들의 희로애락을 함께 해온 송해 이제는 내 인생도 딩동댕 할랍니다 무대 아래 숨겨진 송해 의 라이프 비하인드 스토리부터 30년 만에 마주한 특별한 선물의 정체까지 누구나 알지만 아무도 몰랐던 1927년생 송해 의 인생 속터뷰 ,"['최고', '령', '현역', '연예인', '전국노래자랑', '최장수', '가수', '희극인', '평생', '전', '국민', '희로애락', '송해', '이제', '내', '인생', '딩동댕', '무대', '아래', '송해', '의', '라이프', '비하인드', '스토리', '마주', '특별하다', '선물', '정체', '누구', '알', '아무', '송해', '의', '인생', '터뷰']",최고 령 현역 연예인 전국노래자랑 최장수 가수 희극인 평생 전 국민 희로애락 송해 이제 내 인생 딩동댕 무대 아래 송해 의 라이프 비하인드 스토리 마주 특별하다 선물 정체 누구 알 아무 송해 의 인생 터뷰,다큐멘터리,다큐멘터리 최고 령 현역 연예인 전국노래자랑 최장수 가수 희극인 평생 전 국민 희로애락 송해 이제 내 인생 딩동댕 무대 아래 송해 의 라이프 비하인드 스토리 마주 특별하다 선물 정체 누구 알 아무 송해 의 인생 터뷰
177,수색자,http://www.cine21.com/movie/info/?movie_id=58516,"https://image.cine21.com/resize/cine21/poster/2021/0929/58516_6153f4317a5a4[X224,320].jpg",스릴러,15세이상관람가, 110분, 2021-09-29,6.0," 
													송창의													송영규													 ","억울하게 죽은 영혼들의 무덤 DMZ
									어두운 밤 총성이 울린 후 파견 나온 교육장교가 사망하는 사건이 일어난다.
같은 시각 출입통제구역 DMZ로 탈영병이 도주하는 일이 발생하고
3소대는 DMZ 수색 작전에 긴급 투입된다.

그곳에서 대원들은 탈영병도, 수색 대원도 아닌 정체불명의 병사를 목격한다.
그리고 알 수 없는 죽음의 릴레이가 시작되는데...
모든 건 바로 그날 시작되었다!",억울하게 죽은 영혼들의 무덤 DMZ 어두운 밤 총성이 울린 후 파견 나온 교육장교가 사망하는 사건이 일어난다 같은 시각 출입통제구역 DMZ로 탈영병이 도주하는 일이 발생하고 3소대는 DMZ 수색 작전에 긴급 투입된다 그곳에서 대원들은 탈영병도 수색 대원도 아닌 정체불명의 병사를 목격한다 그리고 알 수 없는 죽음의 릴레이가 시작되는데 모든 건 바로 그날 시작되었다 ,"['억울하다', '영혼', '무덤', '어', '두운', '밤', '총성', '후', '파견', '교육장', '교가', '사망', '사건', '일어난다', '같다', '시각', '출입통제', '구역', '로', '탈영병', '도주', '발생', '소대', '수색', '작전', '긴급', '투입', '곳', '대원', '탈영병', '수색', '대원', '아니다', '정체', '불명', '병사', '목격', '알', '수', '없다', '죽음', '릴레이', '시작', '모든', '건', '바로', '그날', '시작']",억울하다 영혼 무덤 어 두운 밤 총성 후 파견 교육장 교가 사망 사건 일어난다 같다 시각 출입통제 구역 로 탈영병 도주 발생 소대 수색 작전 긴급 투입 곳 대원 탈영병 수색 대원 아니다 정체 불명 병사 목격 알 수 없다 죽음 릴레이 시작 모든 건 바로 그날 시작,스릴러,스릴러 억울하다 영혼 무덤 어 두운 밤 총성 후 파견 교육장 교가 사망 사건 일어난다 같다 시각 출입통제 구역 로 탈영병 도주 발생 소대 수색 작전 긴급 투입 곳 대원 탈영병 수색 대원 아니다 정체 불명 병사 목격 알 수 없다 죽음 릴레이 시작 모든 건 바로 그날 시작
178,수퍼 소닉2,http://www.cine21.com/movie/info/?movie_id=59028,"https://image.cine21.com/resize/cine21/poster/2022/0406/12_15_56__624d05ec9c9db[X224,320].jpg","판타지, 코미디, 어드벤처, 액션, 애니메이션, 가족, SF",전체 관람가, 115분, 2022-04-06,," 
													제임스 마스던													짐 캐리													 ","레벨 업! 초특급 히어로 소닉의 새로운 시대가 열린다
									도시의 악당들을 물리치며 바쁘게 지구를 지키고 있는 초특급 히어로 ‘소닉’.
버섯 행성으로 쫓겨나 ‘소닉’에게 복수를 계획하던 천재 악당 ‘로보트닉’은 엄청난 힘을 지닌 신비의 에메랄드를 차지해 세상을 지배할 야망을 꿈꾸며 지구로 돌아온다! 최강 파워로 업그레이드된 ‘로보트닉’과 강력한 펀치 파워 ‘너클즈’의 공격에 속수무책으로 당하던 ‘소닉’은 하늘을 나는 꼬리를 가진 귀여운 파트너 ‘테일즈’의 도움으로 위기를 모면하게 되는데…

초특급 히어로 소닉과 테일즈 VS 너클즈와 천재 악당 로보트닉
새로운 질서로 세계를 정복하려는 최강 빌런에 맞선 거대한 대결이 시작된다",레벨 업 초특급 히어로 소닉의 새로운 시대가 열린다 도시의 악당들을 물리치며 바쁘게 지구를 지키고 있는 초특급 히어로 소닉 버섯 행성으로 쫓겨나 소닉 에게 복수를 계획하던 천재 악당 로보트닉 은 엄청난 힘을 지닌 신비의 에메랄드를 차지해 세상을 지배할 야망을 꿈꾸며 지구로 돌아온다 최강 파워로 업그레이드된 로보트닉 과 강력한 펀치 파워 너클즈 의 공격에 속수무책으로 당하던 소닉 은 하늘을 나는 꼬리를 가진 귀여운 파트너 테일즈 의 도움으로 위기를 모면하게 되는데 초특급 히어로 소닉과 테일즈 VS 너클즈와 천재 악당 로보트닉 새로운 질서로 세계를 정복하려는 최강 빌런에 맞선 거대한 대결이 시작된다,"['레벨', '업', '초', '특급', '히어로', '소닉', '새롭다', '시대', '린다', '도시', '악당', '바쁘다', '지구', '있다', '초', '특급', '히어로', '소닉', '버섯', '행성', '소닉', '복수', '계획', '천재', '악당', '로보트', '닉', '은', '엄청나다', '힘', '신비', '에메랄드', '차지', '세상', '지배', '야망', '지구', '최강', '파워', '업그레이드', '로보트', '닉', '과', '강력하다', '펀치', '파워', '너클', '의', '공격', '속수무책', '당하다', '소닉', '은', '하늘', '나', '꼬리', '귀엽다', '파트너', '테일즈', '의', '도움', '위기', '모면', '초', '특급', '히어로', '소닉', '테일즈', '너클즈', '천재', '악당', '로보트', '닉', '새롭다', '질서', '세계', '정복', '최강', '빌런', '맞선', '거대하다', '대결', '시작']",레벨 업 초 특급 히어로 소닉 새롭다 시대 린다 도시 악당 바쁘다 지구 있다 초 특급 히어로 소닉 버섯 행성 소닉 복수 계획 천재 악당 로보트 닉 은 엄청나다 힘 신비 에메랄드 차지 세상 지배 야망 지구 최강 파워 업그레이드 로보트 닉 과 강력하다 펀치 파워 너클 의 공격 속수무책 당하다 소닉 은 하늘 나 꼬리 귀엽다 파트너 테일즈 의 도움 위기 모면 초 특급 히어로 소닉 테일즈 너클즈 천재 악당 로보트 닉 새롭다 질서 세계 정복 최강 빌런 맞선 거대하다 대결 시작,판타지  코미디  어드벤처  액션  애니메이션  가족  SF,판타지  코미디  어드벤처  액션  애니메이션  가족  SF 레벨 업 초 특급 히어로 소닉 새롭다 시대 린다 도시 악당 바쁘다 지구 있다 초 특급 히어로 소닉 버섯 행성 소닉 복수 계획 천재 악당 로보트 닉 은 엄청나다 힘 신비 에메랄드 차지 세상 지배 야망 지구 최강 파워 업그레이드 로보트 닉 과 강력하다 펀치 파워 너클 의 공격 속수무책 당하다 소닉 은 하늘 나 꼬리 귀엽다 파트너 테일즈 의 도움 위기 모면 초 특급 히어로 소닉 테일즈 너클즈 천재 악당 로보트 닉 새롭다 질서 세계 정복 최강 빌런 맞선 거대하다 대결 시작
179,슈퍼문,http://www.cine21.com/movie/info/?movie_id=58317,"https://image.cine21.com/resize/cine21/poster/2021/0817/11_06_53__611b19bde8c64[X224,320].jpg","코미디, 어드벤처, 애니메이션",전체 관람가, 74분, 2021-09-09,," 
													송유미													김정훈													 ","한반도 새로운 숲의 지킴이 탄생
									어느 날 갑자기 머리에 뿔이 생긴 10살 소년 건우는 숲의 지킴이가 된다. 

그러던 중 동물들을 마구 사냥하는 밀렵꾼과 
세상을 지배하려는 좀비 호랑이가 나타나 숲은 위기에 빠진다. 
동물 친구들을 구하기 위해 
아름다운 한반도의 자연을 지키기 위해

건우와 친구들은 숲을 구할 열쇠가 있는 슈퍼문을 향해 모험을 떠난다!",한반도 새로운 숲의 지킴이 탄생 어느 날 갑자기 머리에 뿔이 생긴 10살 소년 건우는 숲의 지킴이가 된다 그러던 중 동물들을 마구 사냥하는 밀렵꾼과 세상을 지배하려는 좀비 호랑이가 나타나 숲은 위기에 빠진다 동물 친구들을 구하기 위해 아름다운 한반도의 자연을 지키기 위해 건우와 친구들은 숲을 구할 열쇠가 있는 슈퍼문을 향해 모험을 떠난다 ,"['한반도', '새롭다', '숲', '지킴', '탄생', '날', '갑자기', '머리', '뿔', '살', '소년', '건우', '숲', '지킴', '그렇다', '중', '동물', '마구', '사냥', '밀렵', '세상', '지배', '좀비', '호랑이', '숲', '위기', '동물', '친구', '구', '위해', '아름답다', '한반도', '자연', '위해', '건우', '친구', '숲', '구', '열쇠', '있다', '슈퍼문', '향', '모험']",한반도 새롭다 숲 지킴 탄생 날 갑자기 머리 뿔 살 소년 건우 숲 지킴 그렇다 중 동물 마구 사냥 밀렵 세상 지배 좀비 호랑이 숲 위기 동물 친구 구 위해 아름답다 한반도 자연 위해 건우 친구 숲 구 열쇠 있다 슈퍼문 향 모험,코미디  어드벤처  애니메이션,코미디  어드벤처  애니메이션 한반도 새롭다 숲 지킴 탄생 날 갑자기 머리 뿔 살 소년 건우 숲 지킴 그렇다 중 동물 마구 사냥 밀렵 세상 지배 좀비 호랑이 숲 위기 동물 친구 구 위해 아름답다 한반도 자연 위해 건우 친구 숲 구 열쇠 있다 슈퍼문 향 모험
180,스텔라,http://www.cine21.com/movie/info/?movie_id=55292,"https://image.cine21.com/resize/cine21/poster/2022/0318/10_56_16__6233e6c0a8ab0[X224,320].jpg","코미디, 드라마",15세이상관람가, 98분, 2022-04-06,4.5," 
													손호준(영배)													이규형(동식)													 ","막다른 인생 제대로 한 번 달려본 적 없는 차량담보업계 에이스 ‘영배’(손호준). 
보스 ‘서사장’(허성태)이 하룻밤 맡긴 슈퍼카가 절친 ‘동식’(이규형)과 함께 감쪽같이 사라지고 
영배는 범인으로 몰려 서사장 일당에게 쫓기기 시작한다. 
믿을 사람 하나 없고, 도망칠 곳도 없는 그의 앞에 나타난 건 
바로 1987년식 오래된 자동차 ‘스텔라’.

최대 시속 50km, 남은 시간은 3시간…
유일한 희망인 스텔라와 함께 보스의 슈퍼카를 반드시 찾아야만 한다!",막다른 인생 제대로 한 번 달려본 적 없는 차량담보업계 에이스 영배 손호준 보스 서사장 허성태 이 하룻밤 맡긴 슈퍼카가 절친 동식 이규형 과 함께 감쪽같이 사라지고 영배는 범인으로 몰려 서사장 일당에게 쫓기기 시작한다 믿을 사람 하나 없고 도망칠 곳도 없는 그의 앞에 나타난 건 바로 1987년식 오래된 자동차 스텔라 최대 시속 50km 남은 시간은 3시간 유일한 희망인 스텔라와 함께 보스의 슈퍼카를 반드시 찾아야만 한다 ,"['막', '다른', '인생', '제대로', '번', '적', '없다', '차량', '담보', '업계', '에이스', '영배', '손호준', '보스', '사장', '허성', '태', '이', '하룻밤', '슈퍼카', '절친', '동식', '이규형', '과', '감쪽', '영배', '범인', '사장', '일당', '시작', '사람', '하나', '없다', '곳도', '없다', '그', '앞', '건', '바로', '오래되다', '자동차', '스텔라', '최대', '시속', '시간', '유일하다', '희망', '스텔라', '보스', '슈퍼카', '반드시']",막 다른 인생 제대로 번 적 없다 차량 담보 업계 에이스 영배 손호준 보스 사장 허성 태 이 하룻밤 슈퍼카 절친 동식 이규형 과 감쪽 영배 범인 사장 일당 시작 사람 하나 없다 곳도 없다 그 앞 건 바로 오래되다 자동차 스텔라 최대 시속 시간 유일하다 희망 스텔라 보스 슈퍼카 반드시,코미디  드라마,코미디  드라마 막 다른 인생 제대로 번 적 없다 차량 담보 업계 에이스 영배 손호준 보스 사장 허성 태 이 하룻밤 슈퍼카 절친 동식 이규형 과 감쪽 영배 범인 사장 일당 시작 사람 하나 없다 곳도 없다 그 앞 건 바로 오래되다 자동차 스텔라 최대 시속 시간 유일하다 희망 스텔라 보스 슈퍼카 반드시
181,스틸워터,http://www.cine21.com/movie/info/?movie_id=58284,"https://image.cine21.com/resize/cine21/poster/2021/1006/14_32_19__615d34e353d44[X224,320].jpg",드라마,15세이상관람가, 140분, 2021-10-06,6.67," 
													맷 데이먼													아비게일 브레스린													 ","진실을 파고들수록, 비밀은 깊어진다
									친구를 살해한 혐의로 감옥에 갇힌 딸의 무죄를 입증할 마지막 기회를 위해 나서는 아빠 '빌'
사건의 실체에 가까워질수록 예기치 못한 사실을 알게 되는데…",진실을 파고들수록 비밀은 깊어진다 친구를 살해한 혐의로 감옥에 갇힌 딸의 무죄를 입증할 마지막 기회를 위해 나서는 아빠 빌 사건의 실체에 가까워질수록 예기치 못한 사실을 알게 되는데 ,"['진실', '비밀', '깊다', '친구', '살해', '혐의', '감옥', '딸', '무죄', '입증', '마지막', '기회', '위해', '아빠', '사건', '실체', '치', '못', '사실', '알']",진실 비밀 깊다 친구 살해 혐의 감옥 딸 무죄 입증 마지막 기회 위해 아빠 사건 실체 치 못 사실 알,드라마,드라마 진실 비밀 깊다 친구 살해 혐의 감옥 딸 무죄 입증 마지막 기회 위해 아빠 사건 실체 치 못 사실 알
182,스파이 캣,http://www.cine21.com/movie/info/?movie_id=58616,"https://image.cine21.com/resize/cine21/poster/2021/1111/18_15_17__618cdf254b695[X224,320].jpg",애니메이션,전체 관람가, 88분, 2021-12-09,,,"비상-! 평화롭던 ‘드래빌’ 마을에 연쇄 도난사건 발생했다!?
이제는 우리가 나설 차례!

지상 최고 스파이를 꿈꾸는 집냥이 ‘마니’는
드래빌 마을에서 벌어진 연쇄 도난사건 해결을 위해
쫄보 멍뭉이 ‘엘비스‘, 서커스돌 동키 ‘안톤’,
엉뚱한 흥부자 꼬꼬 ‘에디’와 함께 특급 비밀 작전을 시작한다.

그러나 결정적인 단서를 발견한 순간,
범인으로 몰리며 인생 최대의 위기를 맞이하는데…

과연 이들은 사건을 해결하고 스파이 어벤져스가 될 수 있을까?",비상 평화롭던 드래빌 마을에 연쇄 도난사건 발생했다 이제는 우리가 나설 차례 지상 최고 스파이를 꿈꾸는 집냥이 마니 는 드래빌 마을에서 벌어진 연쇄 도난사건 해결을 위해 쫄보 멍뭉이 엘비스 서커스돌 동키 안톤 엉뚱한 흥부자 꼬꼬 에디 와 함께 특급 비밀 작전을 시작한다 그러나 결정적인 단서를 발견한 순간 범인으로 몰리며 인생 최대의 위기를 맞이하는데 과연 이들은 사건을 해결하고 스파이 어벤져스가 될 수 있을까 ,"['비상', '평화롭다', '드래빌', '마을', '연쇄', '도난', '사건', '발생', '이제', '우리', '차례', '지상', '최고', '스파이', '집', '드래빌', '마을', '연쇄', '도난', '사건', '해결', '위해', '쫄보', '멍뭉이', '엘비스', '서커스', '돌', '동키', '안톤', '엉뚱하다', '흥', '부자', '꼬꼬', '에디', '특급', '비밀', '작전', '시작', '결정', '단서', '발견', '순간', '범인', '몰리', '인생', '최대', '위기', '맞이', '과연', '이', '사건', '해결', '스파이', '어벤져스', '수', '있다']",비상 평화롭다 드래빌 마을 연쇄 도난 사건 발생 이제 우리 차례 지상 최고 스파이 집 드래빌 마을 연쇄 도난 사건 해결 위해 쫄보 멍뭉이 엘비스 서커스 돌 동키 안톤 엉뚱하다 흥 부자 꼬꼬 에디 특급 비밀 작전 시작 결정 단서 발견 순간 범인 몰리 인생 최대 위기 맞이 과연 이 사건 해결 스파이 어벤져스 수 있다,애니메이션,애니메이션 비상 평화롭다 드래빌 마을 연쇄 도난 사건 발생 이제 우리 차례 지상 최고 스파이 집 드래빌 마을 연쇄 도난 사건 해결 위해 쫄보 멍뭉이 엘비스 서커스 돌 동키 안톤 엉뚱하다 흥 부자 꼬꼬 에디 특급 비밀 작전 시작 결정 단서 발견 순간 범인 몰리 인생 최대 위기 맞이 과연 이 사건 해결 스파이 어벤져스 수 있다
183,스파이더맨: 노 웨이 홈,http://www.cine21.com/movie/info/?movie_id=58356,"https://image.cine21.com/resize/cine21/poster/2021/1215/16_44_14__61b99cceed48f[X224,320].jpg","어드벤처, 액션, SF",12세이상관람가, 148분, 2021-12-15,8.43," 
													톰 홀랜드													젠데이아 콜먼													 ","영화 <스파이더맨: 노 웨이 홈>은 정체가 탄로난 스파이더맨 '피터 파커'(톰 홀랜드)가
문제를 해결하기 위해 '닥터 스트레인지'(베네딕트 컴버배치)의 도움을 받던 중 뜻하지 않게 멀티버스가 열리게 되고,
이를 통해 '닥터 옥토퍼스'(알프리드 몰리나) 등 각기 다른 차원의 숙적들이 나타나며 사상 최악의 위기를 맞게 되는 이야기를 그린 마블 액션 블록버스터.",영화 스파이더맨 노 웨이 홈 은 정체가 탄로난 스파이더맨 피터 파커 톰 홀랜드 가 문제를 해결하기 위해 닥터 스트레인지 베네딕트 컴버배치 의 도움을 받던 중 뜻하지 않게 멀티버스가 열리게 되고 이를 통해 닥터 옥토퍼스 알프리드 몰리나 등 각기 다른 차원의 숙적들이 나타나며 사상 최악의 위기를 맞게 되는 이야기를 그린 마블 액션 블록버스터 ,"['영화', '스파이더맨', '노', '웨이', '홈', '은', '정체', '탄로', '스파이더맨', '피터', '파커', '톰', '홀랜드', '문제', '해결', '위해', '닥터', '스트레', '베네딕트', '컴버', '배치', '의', '도움', '중', '뜻', '멀티버스', '통해', '닥터', '옥토', '퍼스', '알프', '리드', '몰리나', '등', '각기', '다른', '차원', '숙적', '사상', '최악', '위기', '이야기', '그린', '마블', '액션', '블록버스터']",영화 스파이더맨 노 웨이 홈 은 정체 탄로 스파이더맨 피터 파커 톰 홀랜드 문제 해결 위해 닥터 스트레 베네딕트 컴버 배치 의 도움 중 뜻 멀티버스 통해 닥터 옥토 퍼스 알프 리드 몰리나 등 각기 다른 차원 숙적 사상 최악 위기 이야기 그린 마블 액션 블록버스터,어드벤처  액션  SF,어드벤처  액션  SF 영화 스파이더맨 노 웨이 홈 은 정체 탄로 스파이더맨 피터 파커 톰 홀랜드 문제 해결 위해 닥터 스트레 베네딕트 컴버 배치 의 도움 중 뜻 멀티버스 통해 닥터 옥토 퍼스 알프 리드 몰리나 등 각기 다른 차원 숙적 사상 최악 위기 이야기 그린 마블 액션 블록버스터
